id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3KrjktqPynnMomhewBkwfc,Great God Pan,Sd Laika,23,2014-04-29,0.446,0.911,10,-6.838,0,0.00503,0.86,0.185,0.167,106.844,292467,4
69GBGI1jCI4YZ0UzOzIBLy,Gutter Vibrations,Sd Laika,15,2014-04-29,0.494,0.806,10,-5.031,0,0.186,0.000234,0.0922,0.553,140.151,160720,4
5h7xj5IGcwANXUM5uozCLR,Black Jackal Throwbacks,Surgeon,14,1999-10-11,0.494,0.784,10,-12.352,0,0.00662,0.926,0.674,0.157,134.179,705760,4
5CWp8iBdJgIZ1UTGAZVldF,Dark Night of the Soul (feat. David Lynch),David Lynch,20,2010-07-09,0.322,0.75,3,-6.858,1,0.942,0.421,0.662,0.293,70.501,280507,4
1z2Idn70iHI0xxKfuQRTQ8,Funeral Singers,Califone,37,2009-10-06,0.673,0.43,3,-9.637,1,0.852,0.0174,0.103,0.704,94.128,249520,4
3hgDpW5PlN8b2pLfpYVZ3G,Connjur,School Of Seven Bells,19,2008-10-28,0.479,0.793,2,-5.655,1,0.0826,6.33e-05,0.311,0.126,129.993,280227,4
79KMm750gXCVN1DKkjCjey,Mystery's Apotheosis,Fabio Frizzi,28,2011-06-17,0.414,0.539,4,-8.953,0,0.106,0.907,0.255,0.225,156.9,240875,3
4jD0DKx2XM0TCwWii6NrNL,Babes,Icky Blossoms,29,2012-07-17,0.753,0.671,2,-5.19,1,0.00159,0.0428,0.0795,0.71,122.995,208400,4
3Hs30mGDpRG1uqkTYjSEJ8,Omnion (feat. Sharon Van Etten),Sharon Van Etten,17,2017-09-01,0.331,0.582,4,-8.987,1,0.385,0.475,0.136,0.207,167.885,294196,5
5DAYBkF6mjE0VpCWSkSxtJ,"Tenebre - Original soundtrack from ""Tenebre""",Goblin,23,2013-01-01,0.686,0.369,9,-20.61,0,0.104,0.249,0.215,0.88,116.534,274279,5
1ShY6wI7fMsTfUq6XzN4kI,Poison Pit,Themselves,7,2019-11-22,0.334,0.538,11,-10.391,1,0.0586,0.00443,0.916,0.398,74.706,242133,4
1TtSn2KTXMZh6iOJJ74cUv,Do The Astral Plane,Flying Lotus,47,2010-05-03,0.722,0.828,8,-3.227,0,0.0505,0.0,0.114,0.275,117.696,237920,4
2HbCoxVRdP1yRc7YdO5KsB,Only Child Explosion,Themselves,5,2019-11-22,0.291,0.567,11,-12.377,1,0.531,0.374,0.366,0.271,129.184,150280,4
