id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7sdqtgsO9zxvKdrrVDpaNu,Money,Aminé,41,2017-07-28,0.502,0.466,7,-7.357,0,0.757,0.0,0.127,0.742,82.393,256267,4
4e9GhjdIrJLR9C8ydXQ9hn,Threat Level Midnight,Neck Deep,0,2015-08-14,0.464,0.947,0,-2.843,1,0.000535,0.0768,0.0724,0.574,95.1,166772,4
5e3yA1CMvoYrZNCqsNaKgC,Kali Ma,Neck Deep,0,2015-08-14,0.449,0.941,1,-3.731,1,3.89e-05,0.413,0.0842,0.585,102.623,170797,4
1v6tmbdVrsUylFyP2b81Jg,Rock Bottom,Neck Deep,0,2015-08-14,0.581,0.925,0,-4.239,1,0.000581,0.0406,0.207,0.534,105.097,200914,4
1gH88s30KaEJO1mTFCyaka,BREAKFAST,BROCKHAMPTON,36,2016-04-11,0.695,0.339,2,-11.872,1,0.262,0.00725,0.512,0.475,79.942,84558,4
5u0ST4fd1oLp4SOpoWWXGl,COTTON HOLLOW,BROCKHAMPTON,37,2016-04-11,0.695,0.372,0,-13.224,0,0.716,0.000578,0.18,0.193,129.967,253074,4
5bknBRjKJZ643DAN2w8Yoy,FACE,BROCKHAMPTON,64,2017-06-09,0.945,0.702,11,-5.016,0,0.591,0.000538,0.0788,0.678,119.887,259000,4
0M8MIyYKkq2ETYuM57LzI0,Grow Up,Paramore,52,2013-04-05,0.538,0.884,2,-4.364,1,0.0135,2.08e-06,0.0947,0.426,92.999,230907,4
6sW6EvagT9ljwokJlG6obt,Daydreaming,Paramore,51,2013-04-05,0.495,0.909,2,-5.575,1,0.000542,0.000503,0.363,0.335,150.027,271027,4
7BpYWzZwrsljT1eIjb0TqR,Told You So,Paramore,62,2017-05-12,0.639,0.814,2,-5.632,0,0.0029,2.98e-05,0.0529,0.904,123.922,188947,4
3xCsHloPBl211Yi4UEUUcm,Pool,Paramore,60,2017-05-12,0.589,0.777,0,-5.386,1,0.00629,0.0165,0.123,0.572,114.867,232787,4
4ntsD33Pgsgk8rUyZLLiUV,DEVASTATED,Joey Bada$$,0,2017-04-07,0.812,0.628,10,-6.164,0,0.0634,0.0,0.254,0.485,123.004,207059,4
7L9g4cPfohScjJ8mGwLQWr,TEMPTATION,Joey Bada$$,0,2017-04-07,0.775,0.707,10,-5.339,0,0.397,0.0,0.874,0.78,104.979,244198,4
3Z2sglqDj1rDRMF5x0Sz2R,3005,Childish Gambino,0,2013-01-01,0.473,0.461,6,-6.474,0,0.149,0.0,0.0973,0.615,165.985,234213,4
7pRcWov3NHxi0GDkKdbSb0,I. The Worst Guys,Chance the Rapper,0,2013-01-01,0.613,0.684,5,-6.488,0,0.0534,0.0,0.0662,0.399,97.028,219747,4
6xKXkSSJqv6ttwL8bj3Dm2,Time Today,Kero Kero Bonito,0,2018-10-01,0.506,0.677,3,-5.73,1,0.229,0.000183,0.0897,0.327,175.655,131595,4
2LS1T6x2O0WZUwg0wJLx84,Make Believe,Kero Kero Bonito,0,2018-10-01,0.547,0.759,5,-5.554,1,0.53,4.47e-06,0.12,0.5,143.985,207708,4
22S1MHT1f6iKk0o4A6AMMU,Dear Future Self,Kero Kero Bonito,0,2018-10-01,0.629,0.488,10,-6.785,1,0.828,4.83e-05,0.426,0.308,128.03,166787,4
721pXflhiZHuHCTCrNkLmj,Visiting Hours,Kero Kero Bonito,0,2018-10-01,0.52,0.873,0,-4.627,1,0.026,2.82e-05,0.255,0.526,128.991,145491,4
3fpKJgC5xCpdOYZVpIJThH,Swimming,Kero Kero Bonito,0,2018-10-01,0.68,0.608,2,-5.512,1,0.686,0.0,0.0972,0.599,119.998,199498,4
3AaiEsiqHO2ylnnOdWninE,Flamingo,Kero Kero Bonito,2,2014-09-23,0.788,0.49,8,-6.287,1,0.313,0.0,0.0968,0.79,177.865,197528,4
6u4xZnL4W0YSLXw24k2zlJ,Break,Kero Kero Bonito,0,2016-10-21,0.848,0.734,11,-5.072,1,0.168,0.00331,0.0512,0.859,96.009,196875,4
